original_title,year,genre,duration,country,language,imdb_score,worldwide_gross_income,tomatometer_rating,imdb_scaled
The Thomas Crown Affair,1968,"Crime, Drama, Romance",102,USA,English,7.0,0.04305,76.0,70.0
Yellow Submarine,1968,"Animation, Adventure, Comedy",90,"UK, USA",English,7.4,1.273261,95.0,74.0
The Arrangement,1969,"Drama, Romance",125,USA,English,6.5,0.009536,8.0,65.0
Butch Cassidy and the Sundance Kid,1969,"Biography, Crime, Drama",110,USA,"English, Spanish",8.0,102.310639,90.0,80.0
Easy Rider,1969,"Adventure, Drama",95,USA,"English, Spanish, Greek, Ancient (to 1453)",7.3,0.123276,83.0,73.0
"Hello, Dolly!",1969,"Adventure, Comedy, Musical",146,USA,English,7.1,0.400881,43.0,71.0
The Italian Job,1969,"Action, Comedy, Crime",99,"UK, USA","English, Italian",7.3,0.113867,83.0,73.0
Kes,1969,"Drama, Family",111,UK,English,7.9,0.019517,100.0,79.0
Midnight Cowboy,1969,Drama,113,USA,"English, Italian",7.8,44.801177,88.0,78.0
On Her Majesty's Secret Service,1969,"Action, Adventure, Thriller",142,UK,"English, German, French",6.7,22.787885,81.0,67.0
Paint Your Wagon,1969,"Comedy, Drama, Musical",164,USA,English,6.6,14.5,27.0,66.0
True Grit,1969,"Adventure, Drama, Western",128,USA,English,7.4,0.276418,89.0,74.0
Two Mules for Sister Sara,1970,"Adventure, Romance, War",116,"USA, Mexico","English, Spanish, French, Latin",7.0,5.05,69.0,70.0
The Wild Bunch,1969,"Action, Adventure, Western",145,USA,"English, Spanish, German",7.9,0.638641,90.0,79.0
Z,1969,"Crime, Drama, History",127,"France, Algeria","French, Russian, English",8.3,0.083305,93.0,83.0
Airport,1970,"Action, Drama, Thriller",137,USA,"English, Italian",6.6,100.489151,73.0,66.0
Getting Straight,1970,"Comedy, Drama, Romance",124,USA,English,6.4,13.3,25.0,64.0
Joe,1970,"Drama, Thriller",107,USA,English,6.8,19.319254,82.0,68.0
Kelly's Heroes,1970,"Adventure, Comedy, War",144,USA,"English, French, German",7.6,5.2,78.0,76.0
Little Big Man,1970,"Adventure, Comedy, Drama",139,USA,English,7.6,31.559552,96.0,76.0
Love Story,1970,"Drama, Romance",100,USA,English,6.9,106.55069,68.0,69.0
A Man Called Horse,1970,"Adventure, Drama, Western",114,"USA, Mexico","English, Sioux, French",6.9,44.0,86.0,69.0
On a Clear Day You Can See Forever,1970,"Comedy, Drama, Fantasy",129,USA,English,6.4,14.0,100.0,64.0
Patton,1970,"Biography, Drama, War",172,USA,"English, German, French, Russian, Arabic, Italian",7.9,61.749765,94.0,79.0
The Private Life of Sherlock Holmes,1970,"Adventure, Comedy, Crime",125,"UK, USA","English, Russian, French, German",7.1,0.019773,92.0,71.0
Ryan's Daughter,1970,"Drama, Romance",206,UK,English,7.4,0.008358,50.0,74.0
